case_name,shard_bundle_id,qualified_source_route,output_sources_json,status,reason_code,record_count,returned_count,actual_bundle_record_count,actual_bundle_record_sources_json,record_count_matches_actual,returned_count_matches_actual,record_completeness_state,upstream_total,pages_fetched,last_cursor,exhaustion_evidence,truncation_reason
lifepo4-stability,sha256:1272ed893bf328d3effc62f0e84c6af59867d218944c58007fff2427b00d9322,optimade:optimade-misc.odbx.science,"[""optimade:optimade-misc.odbx.science""]",succeeded,records_returned,3,3,3,"[[""optimade:optimade-misc.odbx.science"",3]]",True,True,complete,3,1,https://optimade-misc.odbx.science/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:42de70246238c31cd72c0b0c0c4b85acf498c6de8d9f60e1dd6a6925f865d93e,optimade:optimade.2dmatpedia.org,"[""optimade:optimade.2dmatpedia.org""]",succeeded,records_returned,2,2,2,"[[""optimade:optimade.2dmatpedia.org"",2]]",True,True,complete,2,1,http://optimade.2dmatpedia.org/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:3a8523f68a61b61eea25bf4b89f39a2b35ecacb9468929857faf23acb4fd6881,optimade:optimade.materialscloud.org/archive/1z-pd,"[""optimade:optimade.materialscloud.org/archive/1z-pd""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.materialscloud.org/archive/1z-pd/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:e0b8526797637a83a377adb1a7ee869eb4853f980e9dc1a29d26734cafedbed8,optimade:optimade.materialscloud.org/archive/ed-g2,"[""optimade:optimade.materialscloud.org/archive/ed-g2""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.materialscloud.org/archive/ed-g2/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:3127e968f5edb634cb3b16b539d75d884cf177ae0c3254757824f3d4f64c2f71,optimade:optimade.materialscloud.org/archive/jk-9v,"[""optimade:optimade.materialscloud.org/archive/jk-9v""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.materialscloud.org/archive/jk-9v/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:f4e2068306fecd758d605f34ea8218e512e8779e4ffc7cfca84f4fd893f5a1a8,optimade:optimade.materialscloud.org/archive/m0-zg,"[""optimade:optimade.materialscloud.org/archive/m0-zg""]",succeeded,records_returned,3,3,3,"[[""optimade:optimade.materialscloud.org/archive/m0-zg"",3]]",True,True,complete,3,1,https://optimade.materialscloud.org/archive/m0-zg/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:543ddf14043e789564fffaffea23f8695e291003fb30c99e4f2a2b4d893be39f,optimade:optimade.materialscloud.org/archive/zt-z4,"[""optimade:optimade.materialscloud.org/archive/zt-z4""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.materialscloud.org/archive/zt-z4/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:dfbe32baf2ead62e5b713ba383599160f0199308737cc4239fd167bfcc53f598,optimade:optimade.materialscloud.org/main/2dtopo,"[""optimade:optimade.materialscloud.org/main/2dtopo""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.materialscloud.org/main/2dtopo/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:4bfeed6f7c3bf2fdddde230b1893eb456cb5d8c3bf9aa6cab05e5cc53160a70b,optimade:optimade.materialscloud.org/main/autowannier,"[""optimade:optimade.materialscloud.org/main/autowannier""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.materialscloud.org/main/autowannier/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:d07f8fc78d2e19bc7b104f387623ded086501886967725799a8f3d453aeea667,optimade:optimade.materialscloud.org/main/curated-cofs,"[""optimade:optimade.materialscloud.org/main/curated-cofs""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.materialscloud.org/main/curated-cofs/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:e368a2b289251a93e052f6324a19c2c70f8f660b55831481c0ba51838569e7ac,optimade:optimade.materialscloud.org/main/mc2d,"[""optimade:optimade.materialscloud.org/main/mc2d""]",succeeded,records_returned,1,1,1,"[[""optimade:optimade.materialscloud.org/main/mc2d"",1]]",True,True,complete,1,1,https://optimade.materialscloud.org/main/mc2d/v1/structures,optimade_links_next_absent_for_all_selected_providers,
