case_name,qualified_source_route,aggregate_sources_json,route_state,execution_status,record_result,reason_code,record_count,returned_count,actual_bundle_record_count,actual_bundle_record_sources_json,record_count_matches_actual,returned_count_matches_actual,record_completeness_state,upstream_total,pages_fetched,last_cursor,exhaustion_evidence,truncation_reason,normalized_record_bytes_in_bundle,elapsed_seconds,effective_product_record_limit,effective_product_max_pages,effective_product_max_elapsed_seconds,effective_product_max_normalized_bytes,warning_count,warnings_json,failure_type,message
lifepo4-stability,materialsgalaxy,"[""materialsgalaxy:ferroelectric"",""materialsgalaxy:layered_structures"",""materialsgalaxy:nonlinear_optical"",""materialsgalaxy:sc_growth"",""materialsgalaxy:topo_crystals"",""materialsgalaxy:topo_phonons""]",ready,succeeded,complete,records_returned,3,3,3,"[[""materialsgalaxy:topo_crystals"",3]]",True,True,complete,3,1,1,materials_galaxy_total_reconciled,,5155,2.640918,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,mpds,[],ready,failed,failed,upstream_access_denied,0,0,0,[],True,True,,,0,,,,0,1.482446,10000,10000,300.0,1000000000,1,"[{""failure_type"":null,""message"":""{\""failure_type\"":\""access_blocker\"",\""message\"":\""HTTP 402 PAYMENT REQUIRED for https://api.mpds.io/v0/download/facet?q=%7B%22formulae%22%3A%22LiFePO4%22%2C%22props%22%3A%22atomic+structure%22%7D&pagesize=1000&dtype=1&fmt=json&page=0\"",\""reason_code\"":\""upstream_access_denied\"",\""source\"":\""mpds\""}"",""reason_code"":""source_warning""}]",access_blocker,HTTP 402 PAYMENT REQUIRED for https://api.mpds.io/v0/download/facet?q=%7B%22formulae%22%3A%22LiFePO4%22%2C%22props%22%3A%22atomic+structure%22%7D&pagesize=1000&dtype=1&fmt=json&page=0
lifepo4-stability,nomad,[],ready,succeeded,complete,records_returned,246,246,246,"[[""nomad"",246]]",True,True,complete,246,3,pqFpNNdLJD6iXyLhvPWF2f8c_q4E,nomad_cursor_exhausted,,1075707,5.743459,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:mpddoptimade.phaseslab.org,[],ready,failed,failed,upstream_connection_error,0,0,0,[],True,True,,,0,,,,0,3.299416,10000,10000,300.0,1000000000,1,"[{""failure_type"":null,""message"":""{\""failure_type\"":\""service_failure\"",\""message\"":\""Server disconnected without sending a response.\"",\""reason_code\"":\""upstream_connection_error\"",\""source\"":\""optimade:mpddoptimade.phaseslab.org\""}"",""reason_code"":""source_warning""}]",service_failure,Server disconnected without sending a response.
lifepo4-stability,optimade:optimade-gnome.odbx.science,[],ready,succeeded,complete,records_returned,1,1,1,"[[""optimade:optimade-gnome.odbx.science"",1]]",True,True,complete,1,1,https://optimade-gnome.odbx.science/v1/structures,optimade_links_next_absent_for_all_selected_providers,,3312,2.67401,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade-misc.odbx.science,[],ready,succeeded,complete,records_returned,3,3,3,"[[""optimade:optimade-misc.odbx.science"",3]]",True,True,complete,3,1,https://optimade-misc.odbx.science/v1/structures,optimade_links_next_absent_for_all_selected_providers,,11211,2.397155,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade.2dmatpedia.org,[],ready,succeeded,complete,records_returned,2,2,2,"[[""optimade:optimade.2dmatpedia.org"",2]]",True,True,complete,2,1,http://optimade.2dmatpedia.org/v1/structures,optimade_links_next_absent_for_all_selected_providers,,1934,0.509735,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade.materialscloud.org/archive/1z-pd,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.materialscloud.org/archive/1z-pd/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,1.186917,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade.materialscloud.org/archive/ed-g2,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.materialscloud.org/archive/ed-g2/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,1.439231,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade.materialscloud.org/archive/jk-9v,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.materialscloud.org/archive/jk-9v/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,1.338121,10000,10000,300.0,1000000000,0,[],,
